system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
1_1_1_1_1_179_0,6641,6443,6480,6450,6255,5956,5687,0,1.1394408,0.91841596,-0.06517629,
1_1_1_1_1_180_0,5760,5554,5376,5313,5030,4046,3782,0,1.4214702,0.9131932,-0.17405547,
1_1_1_1_1_181_0,6652,6489,6719,6884,6570,6337,5826,0,1.1532784,0.8689516,-0.07118374,
1_1_1_1_1_182_0,5645,5367,5387,5170,5276,4773,4143,0,1.3002656,0.87624544,-0.13053516,
1_1_1_1_1_183_0,4927,4865,4703,4497,4268,3811,3525,0,1.3341844,0.90113324,-0.14316967,
1_1_1_1_1_184_0,5762,5620,5351,5062,4630,4133,3955,0,1.352971,0.87708753,-0.15001075,
1_1_1_1_1_185_0,3755,3507,3213,3076,2872,2487,2248,0,1.4292705,0.88042897,-0.17670757,
1_1_1_1_1_186_0,4133,3994,3853,3768,3612,3285,3083,0,1.2497567,0.84182614,-0.11101499,
1_1_1_1_1_187_0,2708,2352,2106,2093,1978,1895,1724,0,1.2215778,0.9454094,-0.0997389,
1_1_1_1_1_188_0,2805,2555,2336,2246,2161,1890,1720,0,1.3581395,0.92467046,-0.15187377,
1_1_1_1_1_189_0,4998,4643,4595,4561,4429,4184,4003,0,1.1478891,0.9410535,-0.06885322,
1_1_1_1_1_190_0,4530,4162,4094,4155,3971,3792,3575,0,1.1451749,0.934914,-0.067675054,
1_1_1_1_1_191_0,5615,5386,4902,4359,4206,3582,3260,0,1.503681,0.9078994,-0.20117618,
1_1_1_1_1_192_0,5411,5283,4707,4539,4086,3267,2926,0,1.6086808,0.92704725,-0.23332897,
1_1_1_1_1_193_0,5564,5467,5001,4600,4432,3537,3157,0,1.5840988,0.93146086,-0.22603579,
1_1_1_1_1_194_0,5746,5511,4806,4348,3903,3159,2808,0,1.7115384,0.9422026,-0.26241136,
1_1_1_1_1_195_0,5367,5228,4960,4771,4593,3788,3462,0,1.4326979,0.90178245,-0.17786749,
1_1_1_1_1_196_0,4466,4373,4221,4125,3821,3476,3259,0,1.2951826,0.86561435,-0.12860963,
1_1_1_1_1_197_0,5756,5477,5025,4671,4474,3716,3086,0,1.6283214,0.9275031,-0.23905806,
1_1_1_1_1_198_0,5456,5296,4910,4609,4143,3326,3195,0,1.5367762,0.91018933,-0.21159779,
1_1_1_1_1_199_0,5598,5460,5069,4866,4410,3601,3156,0,1.606147,0.8918919,-0.23258358,
1_1_1_1_2_0_0,7378,7138,7516,7764,7776,7656,7322,1,1.0264955,0.83543324,-0.013074539,
1_1_1_1_2_1_0,6465,6326,6607,6704,6612,6517,6403,1,1.0318601,0.84404606,-0.015680246,
